last_author,subject,keywords,journal-title,publisher-name,article-title,first_author,contrib,aff,year
Franzoso                    Guido,,,Cancer Cell,Cell Press,Exploring the stereochemistry of CXCR4-peptide recognition and inhibiting HIV-1 entry with D-peptides derived from chemokines,Tornatore                    Laura,26,,2002
Kent,,,Nature Communications,Nature Publishing Group UK,Precipitating anti-dsDNA peptide repertoires in lupus,Wheatley,22,,2018
Dahlman                    I.,        Brief Communication       ,,Molecular Metabolism,Elsevier,Adipose tissue mitochondrial dysfunction in human obesity is linked to a specific DNA methylation signature in adipose-derived stem cells,Kerr                    A.G.,5,,2018
Qin                    Huadong,,,OncoTargets and therapy,Dove Medical Press,Regulation of autophagy by miR-30d impacts sensitivity of anaplastic thyroid carcinoma to cisplatin,Liu                    Yao,4,"The Fourth Department of General Surgery, The Second Affiliated Hospital of Harbin Medical University, Harbin, Heilongjiang, People’s Republic of China",2014
Ma,,,Reproductive Biology and Endocrinology : RB&E,BioMed Central,Modernizing the Bradford Hill criteria for assessing causal relationships in observational data,Feng                    Wanqin,13,,2018
Ramakrishnan                    Viswanathan,,,BMC Bioinformatics,"New York, John Wiley & Sons",Analysis of high density expression microarrays with signed-rank call algorithms,Archer                    Kellie J,3,,2002
De Rugy                    Aymar,        Motor Behavior       ,,Human Factors,IEEE,SciPy 1.0: Fundamental algorithms for scientific computing in python,Mick,5,,2020
Kubilius                    Ricardas,,,BioMed Research International,Hindawi Publishing Corporation,What is the optimal number of implants for fixed reconstructions: a systematic review,Bechara                    Soheil,4,,2012
Shen,,,The Journal of Experimental Medicine,Rockefeller University Press,Liver-infiltrating CD11b,Tao,15,,2017
Luke                    Kimberly,,,Research Square,American Journal Experts,"Recombinant receptor-binding domain of SARS-CoV spike protein expressed in mammalian, insect and E. coli cells elicits potent neutralizing antibody and protective immunity",Baisa                    Gary,12,Intuitive Biosciences,2009
Palmisano                    Gloria,,,American Journal of Men's Health,Oxford University Press,Men’s health: The challenges ahead,Hawkins                    Jaclynn,9,,2004
Martinón-Torres                    Federico,,,Environmental Research,The Authors. Published by Elsevier Inc.,"Assessment of thirty-day readmission rate, timing, causes and predictors after hospitalization with COVID-19",Mallah                    Narmeen,14,,2021
Wang                    Bocheng,,,Scientific Reports,Nature Publishing Group UK,Causality analysis of neural connectivity: critical examination of existing methods and advances of new methods,Wang                    Bocheng,1,,2011
Ferrarotti                    Ilaria,,,Journal of Clinical Laboratory Analysis,John Wiley and Sons Inc.,"Identification and DNA sequence analysis of 15 new a1‐antitryspin variants, including two PI*Q0 alleles and one deficient PI*M allele",Ottaviani                    Stefania,9,,1994
Costa                    Ana Sofia,,,Scientific Reports,Nature Publishing Group UK,"A 6-month, double-blind, placebo-controlled trial of eptastigmine in Alzheimer's disease",Pinho                    João,6,,2000
Kafkas                    Muhammed Emin,,,Journal of Musculoskeletal & Neuronal Interactions,Lippincott Williams &Wilkins,"Effects of high-intensity interval training and flaxseed oil supplement on learning, memory and immobility:relationship with BDNF and TrkB genes",Eken                    Özgür,2,,2021
Langowski                    Jörg,           Structural Proteins          ,,PLoS ONE,Public Library of Science,Structure of a lipid droplet protein; the PAT family member TIP47,Heid                    Hans,7,,2004
Sutedja                    Nadia A.,,,Contemporary Clinical Trials Communications,IBM Corp,Indirect neuromonitoring of the spinal cord by near-infrared spectroscopy of the paraspinous thoracic and lumbar muscles in aortic surgery,Oostveen                    Cheryl N.,17,,2015
Crollius,"        Gene regulation, Chromatin and Epigenetics       ",,Nucleic Acids Research,Springer,Topologically associating domains are ancient features that coincide with Metazoan clusters of extreme noncoding conservation,Clément,4,,2017
Zepeda                    Rossana C.,         Systematic Review        ,,Frontiers in Neuroscience,The Cochrane Collaboration,The short-term effect of liver transplantation on the low-frequency fluctuation of brain activity in cirrhotic patients with and without overt hepatic encephalopathy,López-Franco                    Óscar,9,,2017
Wang                    Yongpin,,,Journal of Healthcare Engineering,Hindawi,The efficacy of Wii-based movement therapy for upper limb rehabilitation in the chronic poststroke period: a randomized controlled trial,Lu,3,,2016
Karim                    Salim S. Abdool,,,AIDS Care,Altamira Pr,Microbicide clinical trial adherence: Insights for introduction,Succop                    Stacey M.,6,,2013
Vilsbøll                    Tina,,,"Diabetes, Obesity & Metabolism",Blackwell Publishing Ltd,Reproducibility of echocardiographic techniques for sequential assessment of left ventricular ejection fraction and volumes,Andersen                    Andreas,10,,2013
George,,,SAGE Open Medicine,World Health Organization,Awareness of pregnancy-associated health risks among pregnant women and male partners surveyed in a prenatal clinic,Helou,4,,2020
Bai                    Yidong,,,Cells,MDPI,HIF-1alpha induces genetic instability by transcriptionally downregulating MutSalpha expression,Douiev                    Liza,7,,2005
Liu                    Yu-Cun,,,Scientific Reports,Nature Publishing Group,Secreted protein acidic and rich in cysteine (SPARC) suppresses angiogenesis by down-regulating the expression of VEGF and MMP-7 in gastric cancer,Zhang                    Jun-Ling,10,,2012
Agarwal                    Sudha,           Neurogenesis          ,,PLoS ONE,University of Oregon Press,High-resolution in situ hybridization to whole-mount zebrafish embryos.,Rouleau                    Michèle,10,"Ohio State University, United States of America",2008
Ghaderi                    Ebrahim,,,Asian Pacific Journal of Cancer Prevention : APJCP,West Asia Organization for Cancer Prevention,Inconclusive role of human papillomavirus infection in breast cancer,Karimi                    Maryam,4,,2015
Niu                    Yulin,,,Computational and Mathematical Methods in Medicine,Hindawi,Predictors of mortality during initial liver transplant hospitalization and investigation of causes of death,Xu,3,"Department of Organ Transplantation, Affiliated Hospital of Guizhou Medical University, Guiyang 550004, China",2020
Clancy                    Robert M.,,,Frontiers in Genetics,Frontiers Media S.A.,AKI and collapsing glomerulopathy associated with COVID-19 and,Blazer                    Ashira,13,,2020
Dórea                    Fernanda C.,         Oral Medicine        ,,PLoS ONE,Public Library of Science,Acceptance letter,Kusama,13,,2018
Jelokhani-Niaraki                    Masoud,        Communication       ,,International Journal of Molecular Sciences,MDPI,Chemotherapy induced PRL3 expression promotes cancer growth via plasma membrane remodeling and specific alterations of caveolae-associated signaling,Csoboz                    Balint,11,,2018
Milton                    Abul Hasnat,,,Global Health Action,WHO,The availability and affordability of selected essential medicines for chronic diseases in six low- and middle-income countries,Khanam                    Masuma Akter,6,,2007
Cassinelli                    Giuliana,,,Cancers,MDPI,Drug sensitivity testing on patient-derived sarcoma cells predicts patient response to treatment and identifies c-Sarc inhibitors as active drugs for translocation sarcomas,Lanzi,8,"Department of Applied Research and Technological Development, Molecular Pharmacology Unit, Fondazione IRCCS Istituto Nazionale dei Tumori, Via Amadeo 42, 20133 Milan, Italy;",2019
Singh                    Jitendra,,,Healthcare,MDPI,Value and Limitations of Existing Scores for the Assessment of Cardiovascular Risk: A Review for Clinicians,Kweon                    Ye-Na,10,,2009
Zhang                    Hao,,,Bioengineered,Taylor & Francis,"Molecular interplays in hepatic stellate cells: apoptosis, senescence, and phenotype reversion as cellular connections that modulate liver fibrosis",Gong                    Jian,5,,2017
Cavany                    Sean M.,,,Royal Society Open Science,The Royal Society,Clinical disease severity of respiratory viral co-infection versus single viral infection: a systematic review and meta-analysis,Poterek,6,,2022
Jaganathan                    K.S,,,Vaccines,MDPI,Pre-existing polymerase-specific T cells expand in abortive seronegative SARS-CoV-2,Low                    Jia Ming,11,,2022
Moelans,,,Cellular Oncology (Dordrecht),Springer Netherlands,A simple method to monitor hemolysis in real time,Patuleia,8,,2020
Forrester                    Naomi,          Death Rates         ,,PLoS ONE,"Spatial Analysis Laboratory, Department of Geography, University of Illinois",The epidemiology of Japanese encephalitis on Taiwan during 1966–1997,Kumar Pant                    Dhan,6,,1999
Dubra                    Alfredo,,,Translational Vision Science & Technology,Springer;,The Stiles-Crawford effect–explanations and consequences,Sredar                    Nripun,3,,1973
Hansen                    Steffen Foss,        Perspectives       ,,Journal of Nanoparticle Research,U.S. Environmental Protection Agency,Risk-based classification system of nanomaterials,Hansen                    Steffen Foss,1,"Department of Environmental Engineering, NanoDTU, Technical University of Denmark, Building 113, 2800 Kgs, Lyngby, Denmark",2009
Almalki,,,Journal of Healthcare Engineering,The Daily Star,"Review on Nasopharyngeal Carcinoma: concepts, methods of analysis, segmentation, classification, prediction and impact: a review of the research literature",Monirujjaman Khan,8,,2017
