article_type,last_author,keywords,journal-title,ISSN,publisher-name,subject,article-title,first_author,contrib,aff,year,funding,institution,award,PMCID,tokenized_METHODS,country
research-article,Balcells                 Susanna,,JBMR Plus,2473-4039,"John Wiley & Sons, Inc.",Original Articles,PLEXIN‐B2 promotes the osteogenic differentiation of human bone marrow mesenchymal stem cells via activation of the RhoA signaling pathway,Martínez‐Gil                    Núria,9,,2019,"Centro de Investigación Biomédica en Red Fragilidad y Envejecimiento Saludable, 10.13039/100012619, CB16/10/00245, CIBERER, U720, European Regional Development Fund, 10.13039/501100008530, MICINN, 10.13039/501100004837, PID2019‐107188RB‐C21, Spanish MINECO, SAF2016‐75948‐R",MICINN,SAF2016‐75948‐R,PMC9009133, ,Argentina
research-article,Leimane                 Vaira,,Cost Effectiveness and Resource Allocation : C/E,1478-7547,Geneva: World Health Organization,Research,Pulmonary impairment after tuberculosis,Miller                    Thaddeus L,8,,2012,,,,PMC3637239, ,
research-article,Myung                 David,,ACS Applied Materials & Interfaces,1944-8252,Humana Press,Research Article,"Assessing Mucin Expression and Function in Human
Ocular Surface Epithelia
In Vivo and In Vitro",Madl,5,,2012,"National Eye Institute, 10.13039/100000053, P30-EY026877",National Eye Institute,P30-EY026877,PMC9052192, ,United States
research-article,Ma                 Huijuan,,"Diabetes, Metabolic Syndrome and Obesity: Targets and Therapy",1178-7007,Dove Medical Press,Original Research,A hormone-dependent module regulating energy balance,Zhao                    Hang,5,,2011,,,,PMC6438140, ,
research-article,Kingsland                 Melanie,,JMIR Research Protocols,1929-0748,National Drug Law Enforcement Research Fund,Original Paper,Alcohol-related aggression and antisocial behaviour in sportspeople/athletes,Eysenbach                    Gunther,14,,2012,,Deakin University,,PMC5511365, ,Australia
research-article,Zhou                 Xin,,Journal of Cancer,1837-9664,Brisbane (AU),Research Paper,Performance of 18F-FET versus 18F-FDG-PET for the diagnosis and grading of brain tumors: systematic review and meta-analysis,Zhang                    Qing,6,,2016,,,,PMC6548003, ,
research-article,Deng                 Sophie X.,,Molecular Vision,1090-0535,Molecular Vision,Research Article,Mucin gene expression in immortalized human corneal-limbal and conjunctival epithelial cell lines.,Ramirez-Miranda                    Arturo,5,,2003,,,,PMC3130726, ,
research-article,Kiltz                 Uta,,Arthritis Care & Research,2151-4658,"Wiley Periodicals, Inc.",Spondyloarthritis,"ASAS40 and ASDAS clinical responses in the ABILITY‐1 clinical trial translate to meaningful improvements in physical function, health‐related quality of life and work productivity in patients with non‐radiographic axial spondyloarthritis",Walsh                    Jessica A.,17,,2016,"Eli Lilly and Company, 10.13039/100004312",Eli Lilly and Company,,PMC9306696, ,The Netherlands
research-article,Rezaiian                 Zahra,,Iranian Journal of Reproductive Medicine,2008-2177,Research and Clinical Center for Infertility,Original Article,"Angiogenesis during implantation, and placental and early embryonic development",Safdarian                    Leili,6,"Infertility Center, Shariati Hospital, Tehran University of Medical Sciences, Tehran, Iran.",2001,,,,PMC4576429, ,
research-article,Hills                 Robert K,,PLoS ONE,1932-6203,Free Press,Urine,Theory and Practice in Assessing Vulnerability to Climate Change and Facilitating Adaptation,Chunga                    Richard M.,5,,2000,"SHARE Research Program, Chunga, Richard, This research was made possible with UK Aid from the Department of International Development (DFID) as part of the Sanitation and Hygiene Applied Research for Equity (SHARE) research program,, www.SHAREresearch.org",SHARE Research Program,,PMC4988694, ,
research-article,Abbruzzese                 Claudia,,Frontiers in Oncology,2234-943X,World Health Organization,Original Research,Fate mapping of human glioblastoma reveals an invariant stem cell hierarchy,Matteoni                    Silvia,10,,2019,"Associazione Italiana per la Ricerca sul Cancro, 10.13039/501100005010, IG 18526",Neuro-Oncology IRCCS-Regina Elena National Cancer Institute,IG 18526,PMC7952964, ,Italy
review-article,Winkler                 Tobias,,Molecular Biology Reports,1573-4978,"McGraw-Hill, Medical Pub. Division",Review,Safety of autologous bone marrow-derived mesenchymal stem cell transplantation for cartilage repair in 41 patients with 45 joints followed for up to 11 years and 5 months,Eder                    Christian,9,,2011,,Charité – Universitaetsmedizin Berlin,,PMC7295724, ,
research-article,Ye                 Hanhui,,Frontiers in Microbiology,1664-302X,Frontiers Media S.A.,Original Research,"Fibrinogen-like protein 1, a hepatocyte derived protein is an acute phase reactant.",Han                    Lifen,7,,2008,,College of Biological Science and Engineering Fuzhou University,,PMC6914681, ,China
research-article,van de Berg,,Acta Neuropathologica,1432-0533,Springer Berlin Heidelberg,Original Paper,The use of fluorescent DNA-binding agent for detecting and separating yeast mitochondrial DNA,Moors                    Tim E.,22,,1975,"http://dx.doi.org/10.13039/100004337, Roche",Roche,,PMC8357756, ,
research-article,Li                 Xiankai,,Medical Science Monitor : International Medical Journal of Experimental and Clinical Research,1643-3750,"International Scientific Literature, Inc.",Clinical Research,Angiotensin-converting-enzyme inhibition therapy in altitude polycythaemia: A prospective randomised trial,Niu                    Mingyuan,8,,2002,,,,PMC7768795, ,
research-article,Wu                 Han-Tsang,,Translational Oncology,1936-5233,Neoplasia Press,Original Research,Analysis of the RelA: cBP/p300 interaction reveals its involvement in NF-κB-driven transcription,Lin                    Yueh-Te,7,,2013,,,,PMC8665409, ,
research-article,Marinazzo                 Daniele,,PLoS Computational Biology,1553-7358,R Foundation for Statistical Computing,Music Cognition,Acceptance letter,Harrison,11,,2017,"http://dx.doi.org/10.13039/501100000266, Engineering and Physical Sciences Research Council, EP/L01632X/1, https://orcid.org/0000-0002-9851-9462, Harrison, Peter M. C., PH was supported by a doctoral studentship from the Engineering and Physical Sciences Research Council (EPSRC,, https://epsrc.ukri.org/, https://ahrc.ukri.org/",Engineering and Physical Sciences Research Council,EP/L01632X/1,PMC7668605,"We excluded all RAND-REG trials where the participant responded incorrectly, and interpreted RAND and CONT trials as foils for the change-detection task.ParticipantsWe collected data from 25 paid participants (20 females; mean age 24.17,SDage = 3.17).",
research-article,Kloc                 Malgorzata,,Stem Cell Research & Therapy,1757-6512,Academic Press,Research,Immune-evasive human islet-like organoids ameliorate diabetes,Ghoneim,15,,2020,"Mansoura University, Open access funding provided by The Science, Technology & Innovation Funding Authority (STDF) in cooperation with The Egyptian Knowledge Bank (EKB).",Mansoura University,,PMC9327173, ,
research-article,Murillo                 Fernando,,Prospects,1573-9090,Rowman & Littlefield,Viewpoints/ Controversies,History and philosophy of education as pre-qualitative educational research,Murillo                    Fernando,1,,2017,,Pontificia Universidad Católica de Chile,,PMC7836042, ,
research-article,Barber                 Bridget E,,Malaria Journal,1475-2875,Bucarest,Research,,William                    Timothy,10,,2011,,,,PMC4195888, ,
letter,Fredriksson                 Robert,,Cellular & Molecular Biology Letters,1689-1392,BioMed Central,Research Letter,"Influence of genetic, biological and pharmacological factors on levodopa dose in Parkinson's disease",Lekholm,5,,2016,"http://dx.doi.org/10.13039/501100004359, Vetenskapsrådet",Vetenskapsrådet,,PMC7885392, ,
research-article,Behrens                 Thomas,,PLoS ONE,1932-6203,Public Library of Science,Research Article,The obesity epidemic and changes in self-report biases in bmi,Nogueira                    Leticia M.,10,,2013,"This research was supported by the Intramural Research Program of the Division of Cancer Epidemiology and Genetics and contracts from the Division of Cancer Prevention, National Cancer Institute, National Institutes of Health, Department of Health and Human Services. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.",,,PMC3871612, ,
research-article,Li                 Zheng,,Experimental and Therapeutic Medicine,1792-1015,D.A. Spandidos,Articles,SMYD2 overexpression is associated with tumor cell proliferation and a worse outcome in human papillomavirus-unrelated nonmultiple head and neck carcinomas,Yue                    Fu-Ren,7,"Department of Clinical Laboratory, Tianjin Baodi Hospital, Tianjin 301800, P.R. China",2016,,,,PMC7472017, ,
research-article,Gould                 Elizabeth,,Journal of Public Health Management and Practice,1550-5022,US Government Publishing Office,Research Reports,Determinants of salary referents relevance: a field study of managers,Chapple-McGruder                    Theresa,9,"de Beaumont Foundation, Bethesda, Maryland (Dr Chapple-McGruder and Castrucci, and, Ms Heidari); Mel & Enid Zuckerman College of Public Health, Division of Public Health Practice and Translational Research, The University of Arizona, Phoenix, Arizona (Ms Mendoza); Booz Allen Hamilton, Inc, Norfolk, Virginia (Dr Miles); Strategy & Evaluation, Kaiser Foundation Health Plan of Georgia, Atlanta, Georgia (Dr Hilson); Department of Health Policy and Management, College of Public Health, University of South Florida, Tampa, Florida (Dr Wiltshire); Department of Epidemiology, University of Illinois at Chicago, School of Public Health, Chicago, Illinois (Ms Wilder); and State/Territorial Development and Engagement, Association of State and Territorial Health Officials, Arlington, Virginia (Dr Gould).",1997,,,,PMC7329135, ,
research-article,Kim                 Ju Han,,Healthcare Informatics Research,2093-369X,Korean Society of Medical Informatics,Original Article,Targeted capture and massively parallel sequencing of 12 human exomes,Na                    Young-Ji,3,,2009,,,,PMC3633172, ,
research-article,Párniczky                 Andrea,,World Journal of Gastroenterology,2219-2840,Baishideng Publishing Group Inc,Systematic Reviews,Acalculous Acute Pancreatitis in a COVID-19 Patient,Juhász                    Márk Félix,5,"Department of Pediatrics, Heim Pál National Institute for Pediatrics, Budapest 1089, Hungary.",2020,,,GINOP-2.3.2-15-2016-00048 and EFOP 3.6.2-16-2017-00006,PMC7596641, ,
research-article,Rodgers                 Raymond J.,,"Human Reproduction (Oxford, England)",1460-2350,Oxford University Press,Reproductive Biology,"Morphological and biochemical identification of apoptosis in small, medium, and large bovine follicles and the effects of follicle-stimulating hormone and insulin-like growth factor-I on spontaneous apoptosis in cultured bovine granulosa cells",Irving-Rodgers                    Helen F.,8,,2000,,University of Queensland,,PMC2656928, ,Australia
research-article,Liu                 Yong-pan,,Gastroenterology Research and Practice,1687-630X,Hindawi Publishing Corporation,Clinical Study,Malignant gastric outlet obstructions: treatment with self-expandable metallic stents,Shi                    Ding,4,,2010,,,,PMC4290140, ,
research-article,Harris                 M. G.,,Epidemiology and Psychiatric Sciences,2045-7979,The National Academies Press,Original Articles,Parent-adolescent concordance on perceived need for mental health services and its impact on service use,Schnyder,7,,2011,,Institute for Health Metrics and Evaluation University of Washington,,PMC8061128, ,USA
research-article,Lu                 Xiaoling,,Oncology Reports,1791-2431,D.A. Spandidos,Articles,Nanobodies targeting the hepatocyte growth factor: Potential new drugs for molecular cancer therapy,Wan                    Ruirong,12,,2012,,,,PMC5783618, ,
